"tokyo","The Cinderella Castle Mystery Tour is a highlight of this Asian city's Disneyland"
"oslonorway","Frommer's walking tour of this capital suggests visits to Ibsen's apartment and Munch's tomb"
"florence","In this city you can purchase a ticket allowing visits to 7 museums, including the Palazzo Vecchio"
"yellowstone","Home to ""Old Faithful"", it's the oldest national park in the world"
"houston","Guinness says, at $3,750 a night, the Astro Village in this city has the USA's most expensive hotel suite"
"palmsprings","This California resort was named for the trees in the vicinity and its natural hot springs"
"montmartre","Part of Paris whose name comes from the French for ""Martyr's Hill"
"quebeccity","North American city where you can stay at the Chateau Frontenac on the Rue des Carrieres"
"jerusalem","Plush accommodations in this city include the King David Hotel near the Tower of David Museum"
"dublin","This capital's O'Connell Street, one of Europe's widest, was previously called Sackville Street"
"vancouver","Chinese New Year is greeted with dancing dragon parades and firecrackers in this largest B.C. city"
"qe","Launched in 1967, it's the only luxury liner now making regular transatlantic crossings"
"beehivehouse","This Salt Lake City home of Brigham Young is named for the item placed atop the cupola on its roof"
"edmonton","Theme rooms (with jacuzzis!) are available at the Fantasyland Hotel and Resort in this capital of Alberta"
"acropolis","You'll pass through the Beule Gate on your way up this Athenian hill on the way to the Parthenon"
"philadelphia","The Schuylkill River flows through this city just before it empties into the Delaware"
"tokaj","Head to this Hungarian town, the namesake of a sweet white wine, to check out the famed vineyards"
"fiji","Just smaller than New Jersey, this republic consists of about 300 South Pacific islands, including the Yasawa group"
"switzerland","Lausanne in this country is home to the International Olympic Committee and an Olympic museum"
"carnival","If people are parading through Copacabana playing their cuicas, it's this 4-day period"
"virginislands","The history of St. Thomas in this island group is exhibited at Fort Christian, named for Denmark's King Christian V"
"hamilton","The buildings in this Bermudan capital are commonly painted in pastels and the roofs are made of coral"
"newjersey","Cape May, at the end of the Garden State Parkway in this state, is the USA's oldest seashore resort"
"nevada","The northwest corner of Death Valley National Park lies in this state"
"abilene","When traveling through this Kansas city, be sure to stop at Dwight Eisenhower's boyhood home"
"huntsville","This Alabama city has a collection of spacecraft at the U.S. Space and Rocket Center"
"denmark","Country that is home to Royal Copenhagen Porcelain"
"trains","Of trains, buses, or taxicabs, the one you can't ride in Iceland because they haven't any"
"israel","This country's ads invite you to ""Come stay with friends"
"kissingit","In Vatican City, the big toe of St. Peter's statue has worn away from tourists touching and doing this to it"
"tunis","The ancient ruins of Carthage stand just outside this Tunisian capital"
"carlsbadcaverns","U.S. national park in which you'd find the Bat Cave, along with the Big Room and the Giant Dome"
"mounthood","William Broughton named this snow-capped Oregon peak for a British admiral"
"suva","The Fiji Museum stands inside this capital's Thurston Gardens"
"colosseum","Although this Roman arena could hold 50,000, it's not on the Jackson tour"
"avisa","Official endorsement to show validity of a passport, or a major credit card"
"franc","Currency of Liechtenstein, Luxembourg and Andorra"
"epcotcenter","Watch out for trolls when you ride Maelstrom in the Norway section of this Disney World theme park"
"colorado","Steamboat Springs in this state calls itself ""Ski Town, U.S.A."
"kathmandu","You may be surprised to find casinos in this capital of Nepal; you'll find one at the Hotel Yak and Yeti"
"greece","If you're in this country in the summer, you can see ancient plays performed at the theater of Epidaurus"
"romania","The Black Church, so-called because its walls were blackened in a 1689 fire, is in Brasov in this country"
"edinburgh","The Murder and Mystery Tour in this Scottish capital begins at the Witchery restaurant at 352 Castlehill"
"clubmed","In 2010 this worldwide network of vacation resorts founded by Gerard Blitz celebrated its 60ih anniversary"
"hemingway","Key West, Florida has a Lighthouse and Keeper's Museum and a museum devoted to this novelist"
"asafari","From the Arabic for ""journey"", this type of journey might take you to Botswana's Moremi Game Reserve"
"hongkong","The beach scene at Repulse Bay is one of the attractions in this south coast ""Gateway to China"
"budapest","The Hilton Hotel in this Hungarian capital was built around 13th century ruins"
"benjerry","If you scream for ice cream, you'll want to tour this duo's factory in Waterbury, Vermont"
"salemmassachusetts","Crow Haven Corner, a witchcraft shop, is owned by the daughter of this city's official witch"
"dominicanrepublic","This country on Hispaniola has rich deposits of amber; you can shop for it in Puerto Plata on the Amber Coast"
"windsorcastle","Queen Mary's Dollhouse, on display in this castle, has real running water and real wine in its wine cellar"
"auckland","This largest New Zealand city's museum has over 2,000 Maori artifacts, including an 1830s war canoe"
"dublin","This capital's O'Connell street, one of Europe's widest, was previously called Sackville street"
"branson","Geyser Gulch, the world's largest tree house, is one of the features at Silver Dollar City in this Missouri tourist mecca"
"finland","When visiting this country, why not try the cloudberry soup, the reindeer tongue or the sauna sausage"
"subway","The mode of transportation you'd be taking if you were ""pushed"" by some of Tokyo's ""people pushers"
"switzerland","St. Moritz, where the jet set ""winters"", is in this country, not far from the Italian border"
"britishairways","Their ads say they're ""The World's Favourite Airline"
"clubmed","This company established its first village in 1950 in Alcudia on the island of Majorca"
"gibraltar","The Rock"" has been called the grande dame of local hotels on this small peninsula"
"frenchfrancs","The kind of currency you'd need to play the slot machines in the casino at Monte Carlo"
"steps","There are 137 of them in all and they lead up from Rome's Piazza Dispagna"
"kenya","African country in which you can visit Aberdare National Park and Mombasa Beach"
"varig","Brazilian airline whose name is an abbreviation of ""Empresa de Viacao Aerea Rio Grandense"
"benjaminfranklin","A Philadelphia post office museum that honors him offers his special ""B. Free"" cancellation"
"mounties","While in Regina, Saskatchewan, visit the Centennial Museum of this law enforcement group"
"loganairport","In June 1943 Boston Airport was renamed this to honor a native son who served in the Massachusetts Legislature"
"bermuda","Flavors to sample in this Atlantic island group, once the Somers Islands, include many dishes made from local onions"
"hollandamerica","This cruise line's flagship is its sixth to bear the name Rotterdam"
"florida","This state's John Pennekamp Coral Reef State Park  features an underwater bronze statue, ""Christ of the Deep"
"martinique","A park in Fort-de-France, capital of this island, has a statue of Napoleon's wife Josephine, born on the isle"
"papeete","If you're a shop-a-holic, begin your walking tour of this Tahitian port at the Vaima Center, a high-rise shopping center"
"kava","This ceremonial drink of Fiji is made from the roots of a pepper plant and is served in a coconut shell cup"
"nevada","This sparsely populated state has the highest percentage of its workforce in tourism, about a third"
"stonehenge","This site near Salisbury, England has huge boulders that may have come from southern Wales"
"ottawa","Dow's Lake is probably the best place to view the tulips during this Canadian capital's May tulip festival"
"guatemala","This country's Tikal ruins were once a ceremonial center and the largest city of the Mayan empire"
"rotterdam","The Prins Hendrick Museum in this Dutch port city houses exhibits devoted to the history and activity of the port"
"obelisk","This stone pillar from Luxor stands 75 feet high in the Place de la Concorde in Paris"
"australia","Built from the shell of an old power station, the Powerhouse Museum in Sydney is this country's largest museum"
"mountrainier","Weather forecasting in Seattle is easy: either this mountain is ""out"" and it's clear or it isn't"
"tivoli","If you're looking for thrills in Copenhagen, ride the 86-year-old wooden roller coaster in this amusement park"
"casablanca","One of the world's largest mosques, the Great Hassan II Mosque stands in this largest Moroccan city"
"tijuana","Once a border resort with casinos, it's the main entry port to Mexico from California for U.S. tourists"
"jerusalem","Thousands of tourists and pilgrims visit this city each year (Dome of the Rock mosque)"
"zurich","In this largest Swiss city, you can wet your whistle at the James Joyce Pub which Joyce described in ""Ulysses"
"venice","A trip to this Italian city's Lagoon Island should include a visit to Murano, famed for its glass"
"beaches","Grumari has been called ""The Most Beautiful"" of these in Rio, and Ipanema, ""The Most Chic"
"sphinx","You'll find this famous statue just a few hundred feet southeast of the Great Pyramid"
"galapagosislands","The Charles Darwin Research Station on Santa Cruz is a good start for a tour of these South American islands"
"capri","Watch your head when entering the Blue Grotto on this Italian island; the opening is about 3 feet high"
"southafrica","Zebras and leopards are among the wildlife found at Kruger National Park in this country"
"nashville","To see a wax George Strait, go straight to the Country Music Wax Museum in this state capital"
"australia","You may wander past wallabies when you bushwalk through this country's Blue Mountains"
"alberta","You can ride the Jasper Tramway to over 7,500 feet up in this Canadian province"
"sandiego","Hotels in this city include the Holiday Inn On The Bay, The Pan Pacific Hotel and the Balboa Park Inn"
"sweden","You'll find Gripsholm Castle on an island in Lake Malaren in this northern European country"
"colosseum","This 4-storied amphitheater of central Rome has been consecrated as a monument to Christian martyrdom"
"catalinaisland","This resort island ""26 Miles Across the Sea"" from Los Angeles was once a haven for smugglers"
"mexico","A cruise along this country's Riviera would include stops in Cabo San Lucas and Mazatlan"
"beer","In Tokyo drop by Sapporo's museum devoted to this; you can sample some as well"
"blackforest","Stock up on cuckoo clocks and ham while visiting this ""dark"" wooded region of Germany"
"saudiarabia","It's the country you're visiting if you've just landed at King Abdul Aziz International Airport"
"hawaii","You can get a free cup of coffee at the Mauna Loa Royal Kona Coffee Mill and Museum in this state"
"trafalgarsquare","Including the statue, Nelson's Column towers 185 feet above this London square"
"moscow","Poet Alexander Pushkin's home at 53 Arbat Street in this capital is now a museum"
"nice","You can see artist Henri Matisse's tomb in this French city on the Riviera"
"holyrood","About a mile from Edinburgh Castle, this palace of Mary, Queen of Scots is open to the public"
