"giantpandas","With a young one valued at $1.4 million, Guinness calls them the most costly zoo animals"
"bass","The largemouth species of this fish has a dark band along its side; the smallmouth species does not"
"elephant","The giraffe is the world's tallest mammal; this is the second tallest"
"coyote","Unlike wolves, this ""prairie wolf"" has expanded its range in this century"
"snail","The Phoenicians used a liquid from several species of this gastropod to make Tyrian purple dye"
"capybara","This large South American rodent is also called a water pig"
"commoncold","In 1956 it was discovered that hamsters could be infected with this ""common"" human malady"
"sheep","Many American breeds of this animal, like the rambouillet, are raised more for their fleece than for meat"
"fiddlercrab","This crab's habit of waving its big claw gave it a musical name"
"manatees","In 1996 158 of these endangered marine mammals died in a red tide of toxic algae in Florida"
"cod","The Canadian government has blamed the decline of this Atlantic food fish partly on the harp seal"
"amazon","One in every 6 known bird species makes its home in this rainforest"
"dogs","Sputniks 5, 6, 9 and 10 also carried these animals into space, and most were recovered alive"
"askunk","Got one of these odorous animals also known as a polecat as a pet?  Call your humane society to make sure it's legal"
"mastodon","Critters of the Pleistocene epoch include the mammoth and this ""breast tooth"" relative"
"badger","Dachs"", as in ""Dachshund"", is German for this burrowing animal"
"duck","All but one of the domesticated breeds of this animal are derived from the mallard"
"owl","The screech type of this creature may make its nest in a Saguaro cactus"
"seal","The Weddell species of this animal can stay underwater for over an hour"
"dewlap","Similar to a wattle, it's the throat flap of Zebu cattle or the mole anole lizard"
"wombats","Dingoes go after these burrowing marsupials that come in a common and a hairy-nosed type"
"snakes","Lizards and these creatures, like pythons and cobras, make up the largest group of reptiles"
"giraffe","Acacia leaves are the favorite food of this tallest mammal"
"kangaroo","Found chiefly in Australia, the wallaby is a smaller type of this marsupial"
"beluga","A white whale and a large white sturgeon prized for its caviar share this name"
"lipizzanerstallions","These performing horses trained at the Spanish Riding School in Vienna are bred elsewhere for farmwork"
"agiraffe","Its legs are 6 feet long and its neck can be even longer"
"acamel","Bactrian and dromedary are the 2 main types of this desert creature"
"ahorse","The percheron  and the palomino are types of this"
"layeggs","Pythons are oviparous, meaning they do this"
"rats","These rodents first got to America by stowing away on ships"
"trunk","There are about 40,000 muscles and tendons in this part of an elephant's body"
"weasel","When husbands ""pop"" for an ermine coat, they're actually buying this fur"
"hippopotamus","Close relative of the pig, though its name means ""river horse"
"amule","If this species of hybrid's parents were reversed, you'd get a hinny"
"blackmamba","This extremely venomous snake, the largest of the mambas, is green when young"
"sturgeon","The Beluga type of this fish may weigh over 2,800 pounds"
"spoonbill","Tiny crustaceans are a favorite food of this wading bird with an eating utensil in its name"
"maltese","This lapdog associated with a Mediterranean island was highly prized by ladies of the Elizabethan court"
"hamster","Native to Asia Minor, the ""golden"" type of this chubby-cheeked rodent is a popular pet"
"shell","On a turtle, it's made up of a carapace and plastron"
"chimpanzees","Only gorillas and these other primates walk on their knuckles"
"woodpeckers","Sapsuckers are a type of these birds that extract insects from trees by strokes of their bills"
"eel","Biologist Johannes Schmidt located the Sargasso Sea breeding area of this ""elongated"" freshwater fish"
"ferrets","These small, slender mammals often kept as pets were domesticated from the European polecat"
"porcupine","When threatened, the crested one of these erects and rattles its quills"
"ostriches","Some Arabs believe the eggshells of these tallest birds are magical and use them to repel lightning"
"nectar","The honey possum, a tiny marsupial, feeds on this sweet liquid, a favorite of hummingbirds"
"tail","The pocket gopher uses this almost hairless appendage as a sense organ to feel its way in the dark"
"tortoise","As its name implies, the geochelone elephantopus of the Galapagos is a really big one of these"
"piranha","In a matter of minutes, a school of these South American fish can reduce a large mammal to a skeleton"
"bottlenosedolphin","A popular performer at aquariums, this dolphin is named for the shape of its snout"
"cheetahs","These swift felines of Africa and Asia are also known as ""hunting leopards"
"impala","The name of this graceful antelope may remind you of a classic Chevy"
"lemmings","These Arctic rodents famous for their mass migrations are a favorite food of the snowy owl"
"penguin","Unlike other species of this polar bird, the emperor breeds in the winter months of May and June"
"trout","The ""rainbow"" on this fish is a band of red on each of its sides"
"mourningdove","This pigeon relative is named for its sad cooing sound"
"rhinoceros","The ""black"" species of this large horned mammal can grasp twigs with its upper lip"
"goldeneagle","This colorful eagle is unpopular with U.S. sheep ranchers because it preys on rams"
"elephantseal","The largest of the seals is named for this largest land animal"
"yak","The hide of this wild Tibetan ox is used for leather, and it's flesh is used for food"
"narwhal","With its single-twisted horn, it's known as ""the unicorn of the whale family"
"lungfish","This fish, named for its ability to breathe out of water, can drown if held underwater"
"polarbear","This Arctic bear may travel 40 miles a day on ice floes"
"gorillas","In the mountain ""mist"" of central and w. Africa you can still find a few of these endangered mammals"
"siberiantiger","It's the nearly extinct tiger seen here in its natural habitat:"
"piranha","In 1961 a federal law banned the importation of this South American fish into the U.S."
"anaconda","The Western Hemisphere's largest snake, it's also called a water boa"
"pigeons","Smaller forms of these birds are usually called doves"
"mollusks","The largest members of this phylum are the giant squids and the smallest are snails"
"daddylonglegs","These arachnids differ from true spiders by the extreme length and thinness of their legs"
"whale","Surprisingly, the white, or beluga, species of this mammal can be found in the St. Lawrence River"
"gorilla","Even in the wild, this largest of apes takes a midday nap"
"kiwi","Name for both Chinese gooseberry and people of New Zealand comes from this bird"
"northamerica","The only 2 venomous species of lizards, Gila monsters and beaded lizard, are native to this continent"
"civet","Cat-like animal raised for the secretions it produces which are used to make perfumes"
"man","According to New York's Bronx Zoo, it's ""the most dangerous animal in the world"
"panda","Like its giant relative, the lesser variety of this is also a bamboo eater"
"kangaroo","The macropis rufus; it can lean back on its tail to free its hind feet for use as weapons"
"yak","A few of these large bovines still exist in the wild in Tibet at elevations over 14,000 feet"
"whoopingcranes","They're the tallest North American birds"
"india","Asia's only lions live in Gir Forest, about 200 miles northwest of Bombay in this country"
"ray","The sting family of this fish has sharp poisonous dorsal spines near the tail"
"lizards","Australia has over 300 species of these animals, including skinks, geckos and giant goannas"
"ink","This dark fluid is secreted by cuttlefish and other cephalopods"
"leatherback","Named for the texture of its shells, it's the largest living turtle"
"elephants","Although these huge animals are generally docile, when the bulls go into musth they can turn violent"
"tiger","The largest member of the cat family"
"swallows","Not everyone is excited when these birds come back to Capistrano: some residents think they're too messy"
"coyote","The geographic ranges of most predators are shrinking, but the range of this, Canis latrans, has increased"
"manatees","These mammals are classed as Sirenia since they reminded sailors of mermaids -- sirens of the sea"
"polarbear","Among bears, this is the best swimmer"
"hare","The jackrabbit isn't really a rabbit but one of these relatives"
"aardvark","Like this similarly named mammal, the aardwolf eats mainly termites"
"butterfly","The Viceroy type of this insect is protected by its resemblance to the bad-tasting Monarch"
"blackbirds","There are 3 species of bluebird but over 20 of these birds, including grackles"
"cow","In a children's tale, Jack traded one of these barnyard animals for some magic beans"
"zebra","Yipes Stripes!  The Grevy species of this was named for a president of France"
"teeth","In an aardvark these are diiferent from yours; they have no enamel"
"armadillo","The Encyclopedia of Mammals"" calls it the most heavily armored mammal alive today"
"hawk","(Sarah of the Clue Crew in Alaska)  The name of this raptor comes from a word meaning ""to grasp"
"walrus","Odobenus, the genus name of this animal, comes from the Greek for ""one who walks with his teeth"
"prey","Like the falcon or hawk, the shrike is classified as a bird of this"
"water","Almost 99% of a jellyfish's body is made of this substance"
"turtles","The marine types of these have flattish carapaces and their limbs have evolved into flippers"
"dance","A bee is said to do this at the hive to show the other bees the direction and distance to a food source"
"echidna","It's the proper name for the Australian animal some call the spiny anteater"
"afox","Sly"" creature sought by sportsmen riding to hounds"
"acamel","The ""ship of the desert"
"turkeys","The children are poults, the mothers, hens and the fathers,toms"
"falconry","Name of the sport of hunting birds with other birds"
"orangutan","It's the only Asian great ape"
"water","It's what an archerfish shoots to bring down insects"
"acuckoo","A traditional sign of spring in England is a letter to the Times saying, I heard this ""crazy"" bird's call"
"ram","A female sheep is called a ewe; this term refers to a male sheep"
"platypus","Receptors on the bill of this duckbilled mammal can detect electric fields which guide it to its prey"
"porcupine","The name of this large rodent is from the middle French for ""pig with spines"
"zebra","Quagga is a South African name for the Burchell's species of this horse relative"
"antelope","Weighing around a ton, the eland is the largest species of this animal in Africa"
"gilamonster","This lizard of the Southwest is the USA's largest poisonous lizard"
"elephant","It's the only living mammal in the order Proboseidea"
"octopus","This mollusk, also called a devilfish, may inject a poison to paralyze prey"
"muskrat","The fur of this aquatic rodent has been sold as ""Hudson Seal"
"suriname","A toad named for this small South American country carries its eggs on the skin of its back"
"giantsquid","The world's largest invertebrate, it plays a prominent part in an 1870 French novel and a 1954 film"
"southamerica","This continent is home to both pacas and alpacas"
"centipede","One of these chilopoda arthropods has as many as 177 pairs of legs; most have 15 to 23 pairs"
"moth","A female one of the gypsy species of this insect can lay over 1,000 eggs at one time"
"whelks","To count a pair of these carnivorous sea snails, say ""A-one-an-a-two"
"sheep","The domestic one of these evolved from the mouflon and urial"
"itsface","Part of its body where you'll find a warthog's warts"
"theireyes","Owls are among the few birds to have these on the front of their heads"
"otherfish","Most lampreys live by attaching themselves to these"
"flies","Varieties of these insects include bee, soldier, flower, blow and fruit"
"pouch","A young kangaroo rides around in this until it's big enough to take care of itself"
"terriers","The Silky and Yorkshire breeds of this dog are classified as toys"
"shetland","These small ponies named for Scottish islands formerly pulled carts in coal mines"
"salmon","Quinnat is another name for the Chinook species of this fish"
"newt","The red-spotted type of this salamander is one of the most common in the U.S."
"coconuts","The robber crab is known for climbing palms to feed on these"
"tail","The part of the male lyrebird that's shaped like a lyre"
"bat","The flying fox isn't a type of fox, but a type of this"
"dogs","In 1921 Banting and Best controlled diabetes in these animals with insulin; man came later"
"vipers","Rattlesnakes belong to the pit group of this snake family"
"butterfly","The silvery blue, the spring azure and the common oakblue are blue-winged types of this beautiful insect"
"ostrich","This tall bird whose scientific name is Struthio camelus is nicknamed the camel bird"
"rodents","The Patagonian cavy, which resembles a hare, belongs to this order of mammals"
"monkey","Found in Africa, the colobus type of this mammal often has distinctive black and white fur"
"dogs","Scooby-Doo, Goofy and Pluto are cartoon versions"
"beaver","Eager"" animal that symbolizes Canada"
"whales","They include killers, humpbacks and sperms"
"ayak","Tibetan ox used to carry travelers and mail"
"antarctica","An insect related to the housefly, but wingless, is the largest land animal native to this continent"
"rats","In buildings, Norway variety of this animal tends to live on lower floors while black kind lives upstairs"
"rhesusmonkeys","Used in medical research which established Rh factor, their export is now banned by India"
"baldeagles","With an estimated weight of over 2 tons, the largest nest on record was built by these birds"
"pandas","There are only 3 of these animals in U.S. zoos: a 28-year-old in D.C.'s National Zoo and 2 younger ones in San Diego"
"airedale","Called the ""King of the Terriers"", its original home was the valley of the river Aire"
"migrate","Like a lot of birds, the monarch butterfly does this in the winter"
"fat","A camel's hump doesn't contain water, as once was thought, but this, for energy when food is scarce"
"reindeer","The only female deer with antlers, it uses them to dig in the snow for food"
"seahorse","Marine creature whose zoological name is Hippocampus"
"ostriches","Camelus, the genus name of camels, is also the species name of these birds"
"elephants","Rarely seen to die of old age in the wild, it's mistakenly thought they have a secret graveyard"
"kangaroos","The biggest marsupials"
"diamondbackrattler","Heaviest of all poisonous snakes is this North American rattlesnake"
"tailfeathers","In Argentina, rheas are rounded up in order to get these"
"polarbear","World Book says this type of bear has been seen on ice chunks as far south as the Gulf of St. Lawrence"
"turtle","The largest freshwater species of this reptile in the U.S. is the alligator snapper"
"possum","The largest species of this American marsupial is the common or Virginia species"
"chipmunk","This ground squirrel is distinguished from others by its striped face"
"howlermonkey","The largest and heaviest New World monkey, its characteristic roar can be heard for about 2 miles"
"gorillas","The African rain forests are the natural habitat of these largest apes"
"marsupials","The red kangaroo is among the largest of these pouched mammals"
"bat","One of these mammals that inhabits the East Indies has a wingspan of over 5 1/2 feet"
"seaurchin","This spiny relative of the starfish is sometimes referred to as a sea hedgehog"
"jaguar","This largest wild cat of the Americas looks similar to a leopard"
"pigeons","Probably the 1st birds tamed, they weren't used as messengers but as meals"
"achimpanzee","If Michael Jackson can't make a personal appearance, he may send Bubbles, one of these"
"terriers","The Dandie Dinmont, a dog in this group, was named after a farmer who raised them in ""Guy Mannering"
"itswings","A mosquito's hum is actually the sound made by these"
"dog","Though its name means ""Flemish cowherd"", a bouvier des flandres is a breed of this"
"secretarybird","The only African bird of prey with terrestrial habits; it can't type or take dictation"
"four","The number of toes on the foot of a hippopotamus; especially the ones in Disney's ""Fantasia"
"sponge","Types of this aquatic creature include chimney, sheep's wool, and common bath"
"giantpanda","Sadly, this ""giant"" bearlike mammal of China is on the endangered list"
"condor","Among the largest flying birds are the California and Andean species of these"
"llama","This domesticated pack animal and its relative the alpaca were referred to as Peruvian sheep by the Spanish"
"terrier","The AKC classifies the miniature schnauzer as a breed within this dog group"
"seaanemone","Related to corals, this sea creature has been described as ""the best known of the so-called flower animals"
"penguin","The beak of this flightless bird of Antarctica can be black, red, orange or bright purple"
"deer","Buckskin was originally made from the mule and white-tailed species of this ungulate"
"bumblebee","A species of this insect, Apidae bumbus, ranges from above the Arctic Circle to as far south as Tierra del Fuego"
"hamster","In a boon to lab research, in 1956 it was found that this ""golden"" rodent could be infected with the common cold"
"rhea","This flightless South American bird often associates with guanacos, forming mixed herds"
"rodents","Muskrats and woodrats belong to this order of mammals"
"asponge","The Venus's flower basket is one of the most attractive of these porous aquatic creatures"
"fightingfish","This feisty Thai fish blows sticky bubbles to make a nest, then puts the eggs in its mouth and blows them in the nest"
"sheep","Australians call this animal a jumbuck or a monkey"
"coatimundi","Fruit and lizards (yum!) are favorite foods of the coati, also known by this longer name"
"butterfly","The Tiger Swallowtail and Zebra Swallowtail are species of this insect"
"leeches","These medicinal worms were once used to treat headaches and mental illnesses"
"packrat","This rodent in the genus Neotoma is named for its habit of hoarding small objects"
"dingo","Also called a warrigal, this wild dog is one of the few nonmarsupial mammals of Australia"
"civet","This catlike carnivore of Africa is valued for its musk"
"tail","On the squirrel monkey of South America, this may be 16 inches long"
"buffalo","Animal that was the main staple of the Plains Indians economy"
"walrus","The bulls of this tusked aquatic mammal also known as the morse may weigh over 3,000 pounds"
"anantelope","While on safari in Africa, your guide may point out a dik-dik, a small one of these animals"
"blackcats","For 2006, between Oct. 25 and Nov. 1, the Los Angeles SPCA, like many other shelters, banned adoption of these"
"ahyena","The laughing type of this doglike carnivore is a predator of big game but also scavanges for food"
"amoray","This five-letter eel known for its sharp teeth lurks in the holes of a coral reef and will attack divers if disturbed"
"wildebeest","What else is gnu, but that the gnu is also called this, from Dutch words"
"ahippopotamus","Its German name is Nilpferd, ""nile horse"
"calf","It's the common term for the young of a whale as well as a cow"
"bird","Of a wild dog, a rabbit or a bird, what a jackdaw is"
"mongoose","This civet relative not only kills cobras but mice, rats and poultry as well"
"mussels","These mollusks, not oysters, are the most common source for freshwater pearls"
"gibbons","Euell"" be glad to know these small apes are the only ones to habitually walk erect"
"raccoons","The crab-eating one of these masked animals eats fish, fruit and frogs, too"
"florida","Found in this state's Keys, the Key Deer is only about 2 1/2 feet tall"
"bees","Mason, miner and killer are 3 types of these insects"
"cat","The adjective feliform describes anything that resembles one of these animals"
"marsupials","Koalas and kangaroos belong to this order of mammals known for poorly developed young"
