"time","Marvell rhymed, Had we but world enough, and this, his mistress coyness were no crime"
"Edna St. Vincent Millay","She wasnt so saintly when she wrote the following:(What lips my lips have kissed and where and why I have forgotten and what arms have lain under my head til morning)"
"The Bodyguard","Whitney Houston:I Will Always Love You"
"Aladdin","A Whole New World"
"The Spy Who Loved Me","Carly Simon:Nobody Does It Better"
"Evita","You Must Love Me"
"The Mirror Has Two Faces","Barbra Streisand & Bryan Adams:I Finally Found Someone"
"The Love Boat","Hooray for Captain Stubing, who was played by Gavin MacLeod on this series"
"Love & War","Alls fair in these 2 things, also the title of a Susan Dey sitcom"
"Loves Me Not","In the title of yet another Susan Dey series, this phrase followed Loves Me"
"Love Story","What can you say about a 50s game show with the same name (sob) as this Erich Segal novel"
"Love And Marriage","This classic Sinatra hit served as the theme song for Married... with Children"
"King Kong","This characters doomed love for Ann Darrow ends tragically at the foot of the Empire State Building"
"Sleepless In Seattle","The son of a depressed widower dials up a radio call-in show in this film directed by Nora Ephron"
"Oliver\"s Story","The big screen tearjerker Love Story was followed by this sequel"
"Taj Mahal","In 1632 Shah Jahan began building this Mausoleum for his favorite wife"
"Pierre Curie","There was a certain glow in the air when Maria Sklodowska caught the eye of this French physicist in 1894"
"John Alden","Longfellow wrote that Captain Miles Standish gave his blessing to this man who married his crush, Priscilla Mullens"
"I Love Lucy","Before it re-ran (& re-ran & re-ran), it ran on CBS beginning in 1951"
"love beads","Several small items worn on a necklace by hippies"
"Cupid","The title of a 1958 Connie Francis song calls this love god stupid"
"cold feet","If you didnt show up for a blind date, you have these kind of feet"
"chaperone","From an old word for cape, its an older person who, for proprietys sake, accompanies young unmarrieds"
"Cordelia","The youngest daughter of King Lear; the only one who really loved him"
"con amore","Italian for with love, its the musical direction to play or sing lovingly"
"Love and Death","Woody Allen was Russian to romance Diane Keaton in this 75 film inspired in part by War and Peace"
"Love Field","Michelle Pfeiffer teamed up with Dennis Haysbert in the 1992 film named for an airport"
"The Loved One","Rod Steiger played the amorous Mr. Joyboy in this comedy based on an Evelyn Waugh novel"
"June","Probably named for the Roman goddess of marriage, this month is one of the most popular for weddings"
"Eros","A rose has long been a symbol of love; rearrange its letters & you get the name of this Greek god of love"
"the Kama Sutra","Sort of the Sanskrit Joy of Sex, this classic Indian love manual dates back to the 4th century B.C."
"chuppah","Traditionally, when a Jewish couple marries, its under a canopy called this"
"Love Train","The OJays wanted us all to get on board this"
"Our Love Is Here to Stay","Its very clear, & somewhat ironic, that this was the last song George Gershwin composed"
"prom","A long-running Off-Broadway hit revolves around an Awesome 80s one of these high school dances"
"Spring","Its the season that precedes Awakening in the title of a rockin Broadway musical about teens"
"Manhattan","Lin-Manuel Miranda was in college when he began writing In the Heights, set in Wash. Hgts. in this NYC borough"
"Swan Lake","Tchaikovsky ballet in which Prince Siegfried falls in love with a bird"
"Zeus","Disguised as a bull, he dazzled Europa with his animal magnetism"
"Titania","Fairy queen who made an ass of herself over Shakespeares Bottom"
"Rome","Not that I loved Caesar less, says Brutus, but that I loved this city more"
"Hamlet","He declares his love to Ophelia in a letter saying, Doubt Truth to be a liar, but never doubt I love"
"Juliet","She says, My only love sprung from my only hate!"
"love apple","Its an old name for the tomato"
"Tunnel of Love","An amusement park ride for 2, or a 1987 Springsteen hit"
"love handles","2-word term for fat bulges at the sides of the waist"
"tough love","Phyllis York, co-founder of this no-nonsense therapy, said, we had... rotten kids; now theyre wonderful"
"love me, love my dog","Canine proverb implying that ones feeling for a person includes caring about those close to him"
"Malvolio","In 12th Night its Maria, not Olivia, who writes him the love not about his yellow stockings"
"Godiva","This chocolatier offers its trademark ballotins of goodies for that special lady"
"sachets","In the 19th century these scented pouches made by Eugene Rimmel had great cachet as valentines"
"spoons","Elaborately carved, these wooden pieces of tableware are traditional love tokens in Wales"
"emeralds","For a 55th anniversary gift, its traditional to keep love green with this gem"
"tears","The lacrimal bones contain sacs that collect excess these from the surface of the eyes"
"ribs","These bones are classified as true, false, & floating"
"the ear","The stapes, the smallest bone in the human body, is found in this organ"
"The Bridges of Madison County","Photographer Robert Kincaid has a steamy but brief affair with an Iowa farmers wife in this 90s love story"
"Pride and Prejudice","Bridget Joness Diary is a reworking of this Jane Austen classic"
"Danielle Steel","Besides writing romances like The Kiss, she wrote His Bright Light, a memoir of her son Nick Traina, who died at 19"
"The Princess Bride","A later edition of this William Goldman novel included the first chapter of the long-lost sequel, Buttercups Baby"
"Henry VIII","This king romanced Mary Boleyn before her sister Anne lost her head over him"
"Maypole","A tall, thin mistress of George I was nicknamed this, for a tall, thin thing folks dance around on May 1"
"Queen Victoria","She blamed Prince Alberts early death in part on anxiety over their son Berties fling with an actress"
"champagne","My darling, only the best of this potent potable for you, like a fine extra brut Bollinger"
"Bahamas","Yes, my yummy sugar pie, tonight we escape to Nassau, the capital of this country"
"Chanel No. 5","Yes, my flower, I match your intoxicating scent with a gift of this perfume introduced in France in 1921"
"Rolls Royce","For you, my sweet, a classic Silver Shadow II luxury car from this make of auto"
"King David","The beautiful Bathsheba was already married, but that didnt stop this King of Israel from pursuing her"
"Guinevere","This beautiful queens affair with a knight of the Round Table foreshadowed the fall of King Arthurs kingdom"
"Nefertiti","One of the most beautiful women in Antiquity, this gals bust can be seen in the Egyptian Museum in Berlin"
"Helen of Troy","This beautiful & enticing daughter of Leda would have to have lived around 1200 B.C."
"Dorothy Parker","This Roundtable gal quipped, Four be the things Id been better without: love, curiosity, freckles and doubt"
"Frost","Perhaps out mending the wall, this American poet said, Love is an irresistible desire to be irresistibly desired"
"Erich Segal","He wrote in a 1970 book, Love means not ever having to say youre sorry"
"Mencken","In 1949 this Baltimore columnist opined, Love is the delusion that one woman differs from another"
"Benjamin Disraeli","This Victorian prime minister observed, The magic of first love is our ignorance that it can ever end"
"Boy Meets World","As Cory Matthews, Ben Savage is smitten with Topanga Lawrence on this show"
"Guinevere","Dear Sir Lancelot: Arthurs gone grailing.  Meet me under the round table after matins.  XXO, this queen"
"Pride and Prejudice","Mr. Bingley leases an estate near the 5 unwed Bennet daughters in this 1813 novel; complications ensue"
"Anna Karenina","This 1878 title gal has a child with her hubby Alexei but her affair with Vronsky is what gets her preggers again"
"The Bridges of Madison County","Francesca really gets into National Geographic (well, a photographer for it, anyway) in this novel"
"Jane Eyre","Thornfield Halls attic holds a surprise wedding guest for this title governess, but love wins out in the end"
"Lady and the Tramp","Beauty and the Beast & this 1955 Disney film about puppy love both made the list"
"Body Heat","Burning up the list at No. 94 is this Kathleen Turner-William Hurt film"
"Beauty and the Beast","The New York Times called the hero of this Disney musical a cross between Quasimodo and a buffalo"
"Prince Edward","560 guests (& 200 million TV viewers) watched Sophie Rhys-Jones marry this charming prince"
"Brad Pitt","Back in 1991 he made a strong impression as the drifter who hooks up with Geena Davis in Thelma & Louise"
"Sabrina","Being pursued by brothers Greg Kinnear & Harrison Ford is a dilemma for Julia Ormond in this remake of a classic"
"Ray Charles","In 1962, his pop version of I Cant Stop Loving You was the No. 1 single of the year"
"Strangers In The Night","Hit in which Sinatra sang, Love was just a glance away, a warm embracing dance away ...dooby dooby do"
"Nelson Mandela","Cite the embarrassment wife Winnie Madikizela caused you to get a 1996 divorce"
"Margaret Mead","Marry anthropologist Reo Fortune in 1928, lose Fortune in 35, marry anthropologist Gregory Bateson in 36"
"Blade","Man, man, man is for the woman made .... as the spur is for the jade, as the scabbard for this"
"Tears","If I should meet thee after long years, how should I greet thee? -- with silence and these"
"Joan Jett","In I Love Rock N Roll, she sang, Saw him dancin there by the record machine... knew he musta been about 17"
"mother","An unattractive person is sometimes said to have a face that only this person could love"
"Unrequited","This word meaning not reciprocated is found with love in many dictionaries"
"Commitment","Psychologist Robert Sternbergs 3 parts of love are passion, intimacy & this step that men allegedly fear"
"Platonic","An ancient Greek philosophy of the ideal gave us this term for love without desire"
"blind","Chaucer, Shakespeare & Blake are among the poets who have written that love has this disability"
"lovebirds","Amorous couples are often compared to these small, affectionate parrots"
"love potion","Its any magical elixir that arouses passion, not just the Number 9 one of song"
"Lovey","This 5-letter endearment is what Mr. Howell usually called Mrs. Howell on Gilligans Island"
"Cupid","Some swains are seduced by shapely lips said to resemble this Roman gods bow"
"Hamlet","Ophelia says, Tis brief, my lord; he responds, As womens love"
"Romeo","Told that his name is a problem, he says, Call me but love, and Ill be new baptized"
"May","When Will compared thee to a summers day, he wrote, Rough winds do shake the darling buds of this month"
"The Tempest","In this romance, Ferdinand says, Heres my hand, & Miranda replies, And mine, with my heart int"
"love stinks","J. Geils Band:Love, its gonna make you cry, Ive had the blues, the reds & the pinks, one thing for sure..."
"how deep is your love","Bee Gees:Keep me warm in your love and then softly leave and its me you need to show..."
"love is a battlefield","Pat Benatar:We are young, heartache to heartache we stand, no promises, no demands..."
"Volga River","It flows through Kazan & Saratov"
"Kurt Vonnegut","God bless this author of God Bless You, Mr. Rosewater"
"puppy love","In a Paul Anka song, they called it this animal term for temporary youthful infatuation"
"beloved","Dear to the heart; Beethovens was immortal"
"loverly","Aow, wouldnt it be this word in a My Fair Lady song title"
"Ali McGraw","Love means never having to say youre sorry you saw this movie actress make her stage debut in Festen in 2006"
"Love And Marriage","In a Sinatra classic, these 2 things go together like a horse and carriage"
"Love Me Tender","In this title song from Elvis first movie, The King declares You have made my life complete, and I love you so"
"She Loves You","In a 1964 Beatles hit, She says this, and you know that cant be bad"
"The Love Boat","Jack Jones sang that this vehicle soon will be making another run"



"Speak its name","The phrase The love that dare not do this was coined by Oscar Wildes friend Alfred Douglas"
"Princess Bride","In this Rob Reiner film, Westley tells Buttercup, Death cannot stop true love.  All it can do is delay it for a while"
"Shrek","Its arguably the only movie ever in which a fire-breathing dragon falls in love with a donkey"
"City of Angels","This Nicolas Cage-Meg Ryan weeper is a remake of the Wim Wnders film Der Himmel Uber Berlin"
"the Big Bad Wolf","In a classic childrens story, he tries to get the 3 little pigs & instead ends up in a pot of boiling water"
"big stick","Rooseveltian partner of speak softly"
"The Big Sleep","Bogey played Philip Marlowe in this 1946 big screener"
"The Big Rock Candy Mountain","In the hobo song, its the mountain where you sleep all day & where they hung that jerk who invented work"
"Virgil","Aeneas & Dido are lovers in this ancient Roman poets epic poem on the founding of Rome"
"The Good Earth","In this 1932 Pulitzer Prize-winner, Wang Lung & O-Lan get along just fine until he takes a concubine"
"George Sand","In Winter on Majorca, this author describes a wretched stay on the island with her ailing lover Chopin"
"Madame Bovary","Its the classic novel about Emma, her husband Charles & her lovers Rodolphe & Leon"
"Pagliacci","Canio the clown stabs his wife Nedda & her lover Silvio to death near the end of this opera"
"gloves","Rawlings makes them for ballplayers"
"cloven","Split, like some hooves"
"Slovenia","It seceded from Yugoslavia in 1991"
"slovenly","Careless or untidy"
"clover","A common name for trefoil"
"Bruce Willis","This actor divorced Demi Moore in 2000; did she ask for the whole 9 yards?"
"Lee Majors","He divorced Farrah Fawcett in 1982; did that make him the $3 Million Man?"
"Gwyneth Paltrow","Its the Pitts was one headline describing Brads broken engagement with her in 1997"
"Amy Irving","Steven Spielberg divorced this actress in 89; was the courtroom a War of the Worlds? (Sorry, pun fatigue [Im sure])"
"Linda Hamilton","In 1999 director James Camerons marriage to this actress--dare we say--terminated?"
"gloves","In 1834 Xavier Jouvins handy cutting device allowed mass production of these fashion accessories"
"Jim Lovell","Things went smoother for him aboard Apollo 8 in 68 than Apollo 13 in 70"
"Lover\"s Leap","Despite its suicidal name, youll feel exalted at this site on Lookout Mountain near Chattanooga, Tennessee"
"Beloved Country","Completes the title of Alan Patons acclaimed novel Cry, The..."
"plover","Endangered shorebird seen here"
"a candy kitchen","One of Lucille Balls favorite episodes was when she & Ethel got jobs in this kind of kitchen & couldnt keep up"
"her (wedding) ring","Lucy had some splainin to do after she & Ethel tore apart the newly built brick barbecue searching for this"
"grapes","Of the Lucys Italian Movie episode, Lucy said that stepping on these was like stepping on eyeballs"
"Babaloo","It was Rickys signature tune & later the name of his club"
"The Brown Derby","During a trip to Hollywood, Lucy has a run-in with William Holden at this famous restaurant"
"a canoe","Outriggers & kayaks are both types of this open boat"
"a riverboat (or steamboat)","Travel down the Mississippi on the Delta Queen, one of these"
"the Spruce Goose","In November of 1947 this flying boat traveled 70 feet above the water & 80 miles per hour for one mile in its only flight"
"Amistad","Harry Blackmun played Joseph Story, Supreme Court Justice from 1811 to 1845, in this film about a Spanish boat"
"a frigate","The USS Constitution was one of these fast & easy-to-maneuver warships popular in the 18th century"
"Nashville","The Bluebird Cafe in this Tenn. city was featured prominently in the River Phoenix film The Thing Called Love"
"Walt Disney World","Beach music lives at the Rock N Roll Beach Club at this Florida theme parks Pleasure Island"
"Luxor","Rah-rah for Ra, a nightclub named for an Egyptian sun god at this Las Vegas hotel"
"A Midsummer Night\"s Dream","Dont make an ass of yourself at The Donkey Show -- an interactive disco version of this seasonal Shakespeare saga"
"Jack Ruby","Dallas Longhorn Ballroom, site of an infamous Sex Pistols concert, was once run by this man who shot Lee Harvey Oswald"
"Elizabeth Barrett Browning","She asked, How do I love thee?  Let me count the ways"
"Song of Songs (or Song of Solomon)","This biblical song waxes poetic with lines like As a lily among brambles, so is my love among maidens"
"(Rabbie) Burns","My luve is like a red, red rose, thats newly sprung in June, once swooned this poetic Scot"
"Emily Dickinson","Not often thought of as wild, she wrote, Wild nights!  Were I with thee, wild nights should be our luxury!"
"Virgil","Love conquers all things; let us too surrender to love, wrote this epic poet around 39 B.C. in ancient Rome"
"The Love Boat","Fred Grandy popped up as Gopher on this cruisin TV show"
"foxglove","Its not a vixens mitten, its a traditional herb used in medicines & also known as figwort"
"cloven","Adjective for the hoof of a goat or a devil"
"Love in the Time of Cholera","The title of this 1985 Gabriel Garcia Marquez novel should put you at disease"
"Slovenia","The capital of this former Yugoslav Republic & now independent nation is Ljubljana"
"New Year\"s Eve","(Sofia of the Clue Crew in New Yorks Times Square)  Its not too crowded today, but around, oh, 11:30 on this day of the year, Times Square holds about 500,000 people"
"Bronx","(New York Yankees manager Joe Torre)  Youll find collections of roses & tulips in the New York Botanical Garden in this borough where I work"
"Metropolitan Museum of Art","You get the item seen here on entering this palace of culture"
"Village","This area precedes Vanguard in the name of a NYC jazz club thats been swinging since 1935"
"Harlem","This neighborhood is bounded on the south by 110th St. & on the north by the small river of the same name"
"The Power Of Love","Huey Lewis & Celine Dion both extolled loves potency with No. 1s titled this"
"Love Will Keep Us Together","The Captain & Tennille took this hopeful declaration to No. 1 in 1975"
"Love Child","Diana Ross & the Supremes hit No. 1 in 1968 with this song about a girl who was never meant to be"
"Love Train","The OJays asked the whole world to join in & board this in 1973"
"The Love You Save May Be Your Own","1970 No. 1 public service announcement from the Jackson 5: Stop! this may be your own"
"Everybody Loves Raymond","Madylin Sweeten plays the daughter & her brothers play the twin sons on this sitcom"
"Jennifer Love Hewitt","She hosted True Tales of Teen Trauma on MTV & also played Sarah on Party of Five"
"Love, American Style","Yikes!  Tiny Tim once played a suspected vampire on this comedy anthology series that debuted in 1969"
"Love Connection","Our own Johnny Gilbert was once the announcer for this dating show hosted by Chuck Woolery"
"Love, Sidney","This 80s sitcom was based on a TV movie in which Tony Randall played a gay man"
"Tom Cruise & Katie Holmes","In 2005 the press dubbed this couple Tomkat"
"Paris Hilton","Despite a 24-karat diamond ring, this celebutante called off her engagement to Greek shipping heir Paris Latsis"
"Jesse James","In July 2005 Sandra Bullock wed this outlaw from Monster Garage"
"Jennifer Tilly","This actress won the 2005 Ladies No-Limit Texas Hold Em tourney after tutoring by boyfriend & poker great Phil Laak"
"Lover\"s Lane","Its any secluded road sought out by the amorously inclined -- perhaps for amorous reclining"
"Lovebirds","These small parrots of the genus Agapornis are known for their affection for each other"
"Love apple","The tomato was once known as this -- how romantic!"
"Loverly","In My Fair Lady Eliza Doolittle sings the plaintive tune Wouldnt It Be this"
"Love Me or Leave Me","Choice that is the title of the 1955 Doris Day film about singer Ruth Etting"
"Las Vegas","The only sure bet for things you cant do at night in this city is get a sunburn"
"Paris","While on a late night stroll, window shop or stop at a cafe along the boulevards of this city"
"Chicago","Grab a quick pork chop sandwich or dine at some trendy spots in the South Loop in this city"
"Hong Kong","Buy clothes, get your fortune told or hear Cantonese opera singers at this Asian areas Temple Street Market"
"Frankfurt","The Goethe House closes early in this city-am-Main, but the yearly book fair has late night conferences"
"Mary Poppins","Well, chim chim cher-ee!  This musical about a flying nanny is flying onto Broadway"
"The Wizard of Oz","(Before the clue is given, Kate Reinders from the Broadway play Wicked helps with the clue.)Popular /Youre gonna be pop-u-lar /Ill teach you the proper ploys /When you talk to boys /Little ways to flirt and flounce--woww! /Ill show you what shoes to wear /How to fix your hair /Everything that really counts to be /Popular /Ill help you be pop-u-lar /Youll hang with the right cohorts /Youll be good at sports /Know the slang you gotta know /So lets start /Cause youve got an awfully long way to goWicked is based on a modern novel inspired by this classic L. Frank Baum book that took us over the rainbow"
"Echo","In mythology, she pined away for Narcissus until nothing was left but her voice"
"Candide","This title character of a Voltaire work falls in love with Cunegonde, a barons daughter"
"Lenore","In The Raven by Edgar Allan Poe, shes the young woman the poet will see nevermore"
"Anna Karenina","This Tolstoy character is one Alekseis lover & another Alekseis wife"
"D.H. Lawrence","Gamekeeper Oliver Mellors is the title lover in this mans Lady Chatterleys Lover"
"Rock Band","Harmonix created Guitar Hero &, in 2007, released this other music-playing megahit"
"a mosquito","If youre older than a teenager, you cant hear the 17-kHz ringtone named for this biting insect"
"Intel","The worlds smallest laptops are nicknamed Atom, the name of the processor made by this company"
"PlayStation Portable","The 3000 version of this handheld Sony gaming console has a built-in microphone to Skype"
"Honda","This companys redesigned Insight hybrid car is hoping to be a Prius killer"
"udder","Natural lactose producer found on a cow"
"uncertainty","Heisenbergs principal principle"
"undercover","Engaged in the secret gathering of information, or just sleeping in on a Saturday"
"Uzbekistan","In 1220 A.D. the Mongol armies of Genghis Khan overran whats now this Stan"
"unexamined","The Greek philosopher Socrates said that this kind of life is not worth living"
"Narcissus","Upon reflection, this Greek mythological figure fell in love with himself"
"Masters & Johnson","Since 1971 these authors of Human Sexual Response have been viewing it from a married perspective"
"Love is a Many-Splendored Thing","1955 Jennifer Jones-William Holden film whose title song became #1 for the 4 Aces"
"The Art of Loving","Psychoanalyst Erich Fromm defined love as giving in this popular 1956 work"
"charity","28 times in the King James New Testament the greek word agape, meaning love, is trans-lated as this"
"Carrot","Daucus carota"
"Potato","Solanum tuberosum"
"Pepper","Capsicum annuum"
"Corn","Zea mays"
"Lima bean","Phaseolus limensis"
"I Got You Babe","Sonny & Cher:Ich Hab Dich Babe"
"I Think I Love You","The Partridge Family:Ich Denke Ich Liebe Dich"
"Love Will Keep Us Together","The Captain & Tennille:Liebe Halt Uns Zusammen"
"You Are The Sunshine Of My Life","Stevie Wonder:Sie Sind Der Sonnenschein Meines Lebens"
"You Are So Beautiful","Joe Cocker:Sie Sind So Schon"
"Judi Dench", "She won an Oscar for playing Elizabeth I in Shakespeare in Love"
"I Love Lucy","First TV sitcom to hit Number one in the Nielsen ratings"
"Titania","Oberons better half"
"Capulet","Juliets last name"
"Taj Mahal","World famous monument commissioned by a grieving ruler to honour his beloved wife, who had just died."
"Dutch","When a two people on a date pay their own way, they are going..."
"Eros","God of love in greek mythology"
"Cupid","God of love in roman mythology"
