"hypertension","As Franklin D. Roosevelt's blood pressure was 300/190, he suffered from this 1-word condition"
"vertebrae","The cervical spine has 7, the thoracic spine - 12, the lumbar spine - 5, the sacrum - 5, and the coccyx - 4"
"mushrooms","The A.M.A. says most fatal cases of poisoning from these in the U.S. are caused by the death cap variety"
"anabolicsteroids","Athletes who use these steroids to bulk up muscles risk damage to the adrenal glands and liver"
"rx","This symbol on a prescription is thought to represent the Latin word ""recipe"
"penicillin","Today, most commercial varieties of this antibiotic are produced by the mold p. chrysogenum"
"anorexianervosa","The 2-word name of this disorder comes from Greek and Latin words meaning ""without appetite"" and ""nervous"
"andreasvesalius","In 1543 this Flemish anatomist published his ""On The Structure Of The Human Body"
"galen","In the 2nd century, this Greek showed that arteries carry blood, not air as had been thought"
"lips","Cheilitis is the cracking and dryness of these; Chap Stick may give you relief"
"saliva","The parotid glands, the largest glands you have that produce this, are what swell when you have mumps"
"viruses","Pertussis and tuberculosis are caused by bacteria; measles and rubella are caused by these"
"brain","Hail, Hail, the basal ganglia are here in this organ"
"coronaryarteries","During a CABG operation, to bypass these arteries, incisions are made in a leg to get at a vein"
"mononucleosis","Among college students, it's known as the ""kissing disease"
"catscan","Allan Cormack and Sir Godfrey Hounsfield shared the 1979 Nobel Prize for developing this medical scanner"
"amnioticfluid","Down's Syndrome can be determined by analyzing this fluid enveloping the fetus in the womb"
"placebo","When testing new drugs, a control group is given this nonmedical substance  made of sugar or a saline solution"
"johnshopkins","This Baltimore hospital named for its benefactor opened in 1889"
"ablister","A collection of fluid beneath the outer layer of skin that can be caused by sunburn or a tight shoe"
"abiopsy","Needle"" is one type of this procedure in which tissue is taken from the body for a microscopic exam"
"afever","Someone who's febrile has one of these, and someone who's afebrile doesn't"
"adrenaline","This hormone, which helps the body adjust to sudden stress, is also called epinephrine"
"hyperventilation","It's defined as rapid deep breathing, which causes an excess of oxygen and a shortage of CO<sub>2</sub> in the body"
"arthritis","The juvenile rheumatoid type of this disorder is also known as Still's Disease"
"bladder","Cystitis, an inflammation of this urinary organ, is usually caused by bacteria"
"anemia","Poor bone marrow function is the leading cause of the aplastic type of this hemoglobin deficiency"
"tongue","Glossalgia is defined as pain localized in this organ"
"scarletfever","Streptococci cause this childhood ""fever"" characterized by a bright red rash and high temperature"
"eyelids","In almost a blink of an eye, a blepharoplasty operation can remove excess skin from these"
"smell","Anosmia is the loss of this sense; you get it if your olfactory bulb stops working"
"pinsneedles","Paresthesia is the term for when you ""feel"" these sewing items"
"sunburn","For this, the book ""Skin Deep"" recommends such treatments as witch hazel or a cool bath"
"chorea","A condition that features involuntary tics, it's part of Sydenham's and Huntington's diseases"
"cysticfibrosis","In 1989 researchers identified the abnormal gene on chromosome 7 that causes CF, this disease"
"intravenous","Inoculations can be cutaneous, subcutaneous, intramuscular or this way, meaning into a vein"
"laryngitis","This inflammation of the voice box is a broadcaster's nightmare"
"anemia","Tired? Pale? You may have this condition meaning ""want of blood"" and usually caused by an iron deficiency"
"bilious","This adjective can mean ""suffering from excess secretion in the liver"" or just ""cranky"
"blood","Hemophilia is a hereditary condition in which this coagulates extremely slowly"
"charleslindbergh","In the early 1930s surgeon Alexis Carrel and this American aviator invented a mechanical heart"
"antibiotics","From the Greek for ""against life"", these substances kill or inhibit the growth of infectious organisms"
"podiatry","This medical specialty is also known as chiropody"
"medicalert","Information about the medical problems of those wearing this metal tag can be accessed 24 hours a day"
"leprosy","In 1901 U.S. Surgeon General Walter Wyman helped establish a hospital in Hawaii for this disease"
"kangarosis","Of cowpox, cat scratch fever, or kangarosis, the one you can't get"
"aspirin","A few almonds might help a headache; they contain salicylic acid, found in this drug synthesized in 1853"
"malaria","In an ancient Indian treatise, Susruta noted the relationship between mosquitos and this ""bad air"" disease"
"liver","19th century physiologist Claude Bernard found how this organ converts sugar to glycogen and stores it"
"teeth","Malocclusion is a problem with these body parts"
"eyes","Lack of coordination between these matching organs is called strabismus"
"heartattack","Studies show patients treated with TPA rarely need an angioplasty after this event"
"hives","The common name for urticaria, a rash characterized by small red bumps"
"headaches","Also called cephalagia, these can be caused by pressure on the cranial or cervical nerves"
"ear","An otoscope has a small funnel-shaped attachment that is used to peer into this organ"
"nitrousoxide","In 1844 dentist Horace Wells used this anesthetic on himself to pull a tooth; he then began using it on patients"
"marrow","E. Donnall Thomas shared the Nobel Prize for the first transplant of this bone substance between 2 people who weren't twins"
"electroencephalogram","An EKG is an electrocardiogram; an EEG, this"
