"ambulance","As a Red Cross volunteer in Italy during WWI Ernest Hemingway drove one of these vehicles"
"tugboat","Most commercial freight on the Mississippi travels in barges pushed by this type of boat"
"endeavour","This space shuttle that made its maiden voyage in 1992 was built to replace Challenger"
"blimps","Nonrigid airships, like the ones used for advertising, are more commonly called this"
"moon","Russia's Lunokhod I was the first wheeled vehicle used here"
"concorde","In 1993 Barbara Harmer became the first woman to co-pilot this supersonic plane"
"jeep","This rugged vehicle may derive its name from the abbreviation for ""general purpose"
"dragster","The Natural Gasser II, this type of car, can travel a quarter-mile in 8.9 seconds on natural gas fuel"
"subaru","In August 1995 this company introduced the Outback, a hybrid station wagon and sport utility vehicle"
"tank","This military vehicle got its name from a British codeword when ""Landship"" never caught on"
"triangular","Arab ships called dhows are lateen rigged, meaning their sails are roughly this shape"
"blimps","During WWI the British called them ""limps"", the most common being the ""B"" type"
"lifeboats","It's said these are ""manned"" in an emergency, but they're usually womened and childrened first"
"horses","It's what ""powered"" the first BandO passenger train back in 1830"
"jamestown","The Goodspeed, Sarah Constant and Discovery brought the first people to this settlement"
"ahelicopter","The HU-1A ""Huey"" was the main Medevac one of these in the Vietnam War"
"aballoon","The Montgolfier brothers were papermakers by profession and used paper in their early ones of these"
"acoupler","It's a device used to connect railroad cars; today's automatic knuckle one was patented by Eli Janney in 1873"
"landrover","Introduced in Britain in 1948, this brand soon became the standard for rugged 4-wheel drive vehicles"
"trailways","In 1987 Greyhound Lines bought this Dallas-based competitor"
"trailer","In trucking a triple-sized one of these, pulled by a tractor, can be as long as a 10-story building"
"zeppelin","(Sophia of the Clue Crew standing in front of the Goodyear blimp facility)  2 major types of airships are non-rigid, or blimps, and rigid, also called by this name of a German count"
"plane","In the 1940s Robert Edison Fulton Jr. designed the Airphibian, a car that was also one of these"
"eurailpass","Offered since 1959, it gives you travel for a fixed time period on train systems in 17 European countries"
"queenmary","Scheduled to set sail in 2004, its logo is seen here<br />(QM2)"
"detroit","The elevated tracks of the ""People Mover"" move people around this American ""Motor City"
"honshu","Kanmon Tunnel, the world's first under an ocean, connects the island of Kyushu with this island"
"montreal","An ""underground city"" connects the subway with downtown offices and shopping in this largest Quebec city"
"sedan","It's a chair carried on poles by porters, or a car with 4 doors"
"airbus","This consortium of European aircraft makers is headquartered near Toulouse, France"
"theodoreroosevelt","While in office, he became 1st president to ride in a car and submerge in a submarine"
"stanleysteamer","In production from 1897 to 1924, this car was nicknamed ""The Tea Kettle"
"california","This state leads the U.S. in number of registered automobiles with over 17 million"
"hollandtunnel","Air in this tunnel between NYC and Jersey City comes from giant fans in 4 10-story towers"
"oklahomacity","This state capital has a Wiley Post Airport as well as a Will Rogers Airport"
"boston","This city's Logan International Airport is about 180 miles closer to Europe than New York City is"
"elal","The name of this airline established in 1948 means ""skyward"
"bus","Non-flyer John Madden travels on this, the ""Maddencruiser,"" complete with bed and shower"
"sails","In addition to a rudder and oars, most keelboats were equipped with these to aid travel"
"dirigibles","Until 1937 the Lakehurst, New Jersey, naval air station was the U.S. transatlantic terminal for these craft"
"ahansom","Developed in the 1830s, this cab named for its inventor put the driver on an elevated seat in the rear"
"mcdonnelldouglas","The MD in MD-80 stands for this company that merged with Boeing in 1997"
"bmw","Ernst Henne was ""the fastest man on two wheels"", hitting 173 mph in 1937 on a motorcycle from this company"
"asteamer","It could be paddle wheel, cargo or tramp"
"achariot","Charlton Heston was ""on track"" with it in ""Ben Hur"
"hindenburg","In 1936 the man who beat Joe Louis returned home on the famous craft named this"
"blackboxes","To shield them from impact, the flight recorders nicknamed these are installed in the back of the plane"
"skateboard","It's the equipment Tony Hawk uses doing tricks like the Popshuvit Nosegrind"
"carriage","According to a classic 1892 song, it's what I couldn't afford that caused me to get a bicycle built for 2"
"mercedesbenz","Going into production in 2003, this German automaker's SLR will feature gullwing doors"
"pennyfarthing","(Sarah of the Clue Crew)  It's the ""monetary"" name for this turn-of -the-century wheel transport"
"california","Not surprisingly, there are more motor vehicles registered in this state than any other"
"omnibus","The name of this form of transportation comes from a Latin word meaning ""for all"
"dirigible","In 1910, it became the first type of aircraft to offer commercial passenger service"
"achillelauro","In 1994 this ill-fated Italian cruise ship sank off the coast of Somalia"
"human","Like a rikshaw, a brouette was pulled by one of these"
"ajunk","The name of this Chinese sailing ship is derived from Portuguese and Javanese, not Chinese"
"asidecar","This wheeled seat attached to a motorcycle debuted circa 1903; the cocktail came later"
"asubmarine","Reynolds Metals donated the Aluminaut, the 1st all-aluminum one of these, to the Science Museum of Virginia"
"alaska","During the winter of 1980, 3 men drove a snowmobile 5,876 miles from this state to Mich. in 39 days"
"deltaairlines","In its commercials this company says, ""We love to fly and it shows"
"trainrailroad","(AUDIO Daily Double):<br />Mode of transportation mentioned in the following folk song:<br />""Not a shirt on my back, not a penny to my name, Lord, I can't go home this way..."
"norway","World's longest ocean liner, the France was renamed this after Knut Kloste bought her in 1979"
"northamerica","On May 10, 1869 it became the first continent to have a rail line running from its east coast to its west coast"
"accord","In the early 1990s the Ford Taurus overtook this model of Honda as No. 1 in U.S. auto sales"
"chariot","This wheeled war vehicle was introduced to the Egyptians around 1600 B.C. by an invading people called the Hyksos"
"hovercraft","The SR.N4 MK III, one of the largest of these, crosses the English Channel on a cushion of air"
"federicopena","In 1993 this former Denver mayor became the first Hispanic-American Secretary of Transportation"
"rollsroyce","Last names of the motor car maker and mortor car dealer who merged in Manchester, England in 1906"
"skis","Transport that helped the Finns in the 1939-40 winter war and helped Finn Matti Nykaenen finnish with Olympic gold"
"afterburners","This device increases a jet plane's thrust by burning exhaust gases"
"metroliner","It's the high-speed train that runs between NYC and Washington, D.C."
"gondola","The basket beneath a balloon is called this, like a Venetian boat"
"express","Term for a bus, elevator or NYC subway train that makes few stops"
"refrigeratorcar","In the 19th century Gustavus Swift developed this type of railway car to preserve his packed meat"
"skateboard","Some surfing techniques were adapted to concrete by devotees of this device"
"spaceshuttles","These transports, first sent up in 1981, lift off like a rocket and land like a plane"
"snowmobiles","These have largely replaced dogsleds as the Eskimos' main mode of winter transportation"
"bullettrains","These trains were introduced in October 1964 to celebrate the first Olympic Games held in Asia"
"cablecar","Suspended from an overhead wire, it transports passengers up steep hills or across valleys"
"ambulance","From a French phrase for ""mobile hospital"", it's a vehicle for transporting the sick or injured"
"chariot","The corous triumphalis was one of these vehicles that victorious Roman generals rode into the city"
"concorde","In 1994, British Airways found and repaired hairline cracks in the wings of these jets that crack the sound barrier"
"sledge","Add two letters to the end of sled and you get this synonym"
"trolley","It's a streetcar or bus that runs on electricity supplied by an overhead wire"
"helicopter","The Sikorsky Skycrane, this type of aircraft, can lift 10 tons while hovering"
"newyork","This city's subway system, made up of the IRT, BMT and IND, has 238 route miles and 469 stations"
"generalmotors","In 1996 this company began leasing electric-powered EV1s through its Saturn dealerships"
"hovercraft","The British SRN 4 type of this machine was designed to ferry people and cars across the English Channel"
"trawler","This type of fishing boat drags a large conical net behind it"
"ambulance","From a French phrase for ""traveling hospital"", it'll get you to the hospital quickly in an emergency"
"biplane","Type of airplane seen here; it gets its name from its double-wing structure"
"catamaran","Feline"" name for the type of boat seen here"
"helicopter","The tail rotor counters torque on this type of aircraft developed in the 1930s"
"gurney","Seen here, it's something you have to have ""patients"" to move around"
"aparachute","If you're wearing silks, you're on a horse; if you ""hit the silk"", you're strapped into one of these"
"acela","The name of this New York-Boston train combines ""acceleration"" and ""excellence"
"commercial","The 3 broad classes of operational aviation are general, military, and this type of civil aviation"
"magneticlevitation","In railroading, maglev is short for this"
"privatejets","In November of 2008 the CEOs of the big 3 automakers didn't help their cause by getting to Washington on these"
"acanoe","Thoreau wrote, ""Wherever there is a channel for water, there is a road for"" this narrow boat"
"asegway","It's the innovative 2-wheeled transporter ""dedicated to moving you"
"indian","This motorcycle co. whose factory 100 years ago was ""The Wigwam"" is once again in business after a bumpy history"
"bicycle","The Michauxes added pedals to the front wheel of a velocipede and became the ""fathers of"" this vehicle"
"asubway","One line of the Montreal Metro, this type of transportation, passes beneath the St. Lawrence River"
"chile","The Pan-American Highway's southernmost point is Puerto Montt, 560 miles south of Santiago in this country"
"arickshaw","First used in Japan in the 1870s, this 2-wheeled cart is pulled by a runner who may pull up to 30 miles a day"
"atroika","This light Russian sleigh, whose name means ""a group of 3"", is pulled by 3 horses"
"paris","French authorities may build another airport for this city already served by Orly and De Gaulle"
"antarctica","The icebreaker ""Nathaniel B. Palmer"" has carried scientists to study the Ross Sea off this continent"
"wings","A new research submarine, Deep Flight I, includes these airplane features turned upside down"
"ambulances","Before the 1960s these vehicles that carry the injured were rarely stocked with medical equipment"
"v","Type of auto engine, or a tomato cocktail"
"solo","Lindbergh was not first to fly the Atlantic, but first to do it this way"
"amtrak","Derived from words ""American"", ""travel"", and ""track"", it provides most U.S. passenger rail service"
"streetcars","Changing lines, you could have at one time ridden these from Freeport, IL to Utica, NY"
"asteamboat","John Fitch built a mechanically successful one of these almost 20 years before Fulton"
"kick","After turning the key, it's the final action with which you start a Yamaha YZ426F 4-stroke motorcycle"
"horses","The Champlain and St. Lawrence Railroad opened in 1836 powered by this, but soon became Canada's first powered by steam"
"carbon","The U.S. company Trek makes Lance Armstrong's bikes from a composite of this often-compounded element"
"lecar","In 1980 you could haul brie in the Renault sold in the U.S. under this half-French name"
"abicycle","For mountain touring, many people prefer this vehicle to have 18 or 21 speeds"
"adugout","One of man's earliest boats was this type of canoe made by hollowing out a log"
"cunardline","In 1990 this cruise line founded by a British shipowner celebrated its 150th anniversary"
"peugeot","In August 1991 this French automaker of the 405 Series said it will quit selling cars in the U.S."
"zeppelindirigible","In 1910 the ""Deutschland"" inaugurated commercial passenger service in one of these"
"chariots","The wheels of these ancient Egyptian vehicles usually had 6 spokes"
"ladder","Fire departments have 3 main types of truck: pumper, rescue and this kind"
"wildernessroad","Marked out in 1775, it was Kentucky's first road"
"platte","The Oregon, California and Mormon trails followed this east-west River in Nebraska"
"norway","Opened in 2000, the world's longest higway tunnel at 15.2 miles links Oslo and Bergen in this country"
"stagecoach","In 1785 Congress began mail service using this horse-drawn carriage"
"mitsubishi","The Eclipse and Galant are 2 of the cars driving up business for this Japanese automaker"
"supersonic","An SST can travel at over 1,300 mph; SS stands for this"
"monorail","One of these in Wuppertal, Germany has been operating since 1901, the year Walt Disney was born"
"jeep","Karl Probst designed an army recon vehicle in 2 days in 1940; we know it better as this"
"engines","France II, at 419 feet the largest merchant sailing ship ever built, also had 2 of these to back up the sails"
"crosscheck","Flight attendants prepare doors for departure and"" do this means make sure your door and the one opposite yours are armed"
"detroit","The first mile of concrete paving was laid in 1909 along this ""Motor City""'s Woodward Avenue"
"alanshepard","He's in the record books for making the shortest manned space flight"
"constitution","The battle in which this ship was nicknamed ""Old Ironsides"" lasted just 25 minutes"
"bicycle","The penny-farthing was an old-fashioned one of these"
"coach","It can be a bus for tourists or a private carriage for state occasions"
"black","Henry Ford once said you could buy a Model T in any color as long as it was this"
"wheelwell","In other news...a stowaway from Tahiti recently survived a death-defying airline flight to L.A. while hiding here"
"amphibious","An aircraft that can take off and touch down on water or land is called this, like a class of animals"
"limousine","It's a luxurious chaffeur-driven auto, whether regular or ""stretch"
"atugboat","Built in 1802, the Charlotte Dundas was the first of these small harbor ships used to maneuver larger ships"
"hansomcab","This 2-wheeled, 2-passenger 19th century London cab had an elevated driver's seat in the rear"
"igorsikorsky","Bridgeport, Conn.'s airport is named for this helicopter pioneer whose aircraft plant was in the city"
"automobile","In 1922 Warren Harding said that this ""gauges the speed of our present-day life. It long ago ran down simple living"
"nuclearpower","On July 21, 1959, the first cargo ship powered by this was launched at Camden, New Jersey"
"balloon","In 1957 an Air Force doctor stayed a record 32 hours in the stratosphere in one of these"
"unitedstates","With over 200,000 miles of railroad tracks, this country has more than any other"
"roadmaps","Around 1914 the Gulf Oil Company became the first to give away these free guides to travelers"
"eriecanal","Construction and maintenance costs of this New York waterway were defrayed by tolls until 1882"
"canoe","In the south Pacific an outrigger type of this craft has a framework for stability"
"bullettrain","In Japan this high-speed train shuttles passengers between cities at over 150 miles per hour"
"teamsters","This trade union includes chauffeurs, warehousemen and helpers"
"rickshaw","This 2-wheeled east Asian cart is pulled by a runner called a shafu"
"heathrow","In terms of total passengers, this London airport is the world's busiest outside the U.S."
"cunardline","In 1840 this line sent its first ship, the Britannia, across the Atlantic"
"toronto","In 1954 this city opened Canada's first subway"
"concorde","Exactly a month after the Boeing 747 made its maiden flight, this Anglo-French airliner was 1st flown"
"submarines","The largest of these, such as Russian Typhoons and U.S. Tridents, are almost 2 football fields long"
"mercedes","In the 1950s, this European car company introduced gasoline fuel injection"
"bicycle","Shielded by a car, in 1941 Alf Letourner hit a speed over 108 mph on this"
"greyhound","This company is #1 in bus transportation and bus manufacturing"
"arailroad","This form of transport still carries the most freight in the U.S."
"boxcars","Roofed cars on a freight train, or a roll of 12 in a dice game"
"ahearse","The name of this vehicle used on grave occasions comes from the Old French for ""long rake"
"circuswagons","From 1985 to 2003, Milwaukee hosted a parade featuring dozens of these wagons from Baraboo"
"apram","If you're walking your baby back home in London, it won't be in a stroller but in this 4-letter synonym"
"eriecanal","The longest of the 4 canals in the New York State Barge Canal System"
"airplanes","The Kelly Act of 1925 allowed the Post Office to contract companies to transport mail using these"
"red","Standard color of a radio flyer"
"modelrocketry","The national championships in this sport were held in August 1988 at a pad in Huntsville, Ala."
"boeing","In May 1995 this company delivered its first 777"
"suezcanal","In 1979 Israel sent its first cargo ship through this waterway"
"toboggan","This runnerless sled was first used by North American Indians to haul supplies and game over the snow"
"glider","This type of aircraft is sometimes called a sailplane"
"galley","It's the name shared by an early warship propelled by oars and the kitchen of a boat or ship"
"chrysler","The FJ Cruiser is from Toyota; the PT Cruiser, from this automaker"
"lexus","The relentless pursuit of perfection"" is the goal of this luxury automaker"
"alfaromeo","The first logo of this sporty Italian carmaker included the Visconti serpent, a Milanese symbol"
"scion","The name of this car line means ""a descendant"
"goodyearblimps","The 3 bases for these in the U.S. are at Pompano Beach, Fla., Carson, Calif. and Suffield, Oh., just east of Akron"
"londonsubway","It's sometimes called the tube or underground"
"montana","The largest airport in this state is Logan International Airport in Biillings"
"japan","About 80% of the motorcycles bought in the U.S. are produced by this country"
"amonorail","It's a system in which a vehicle runs along a single, elevated beam; Expo 67 had 3"
"harleydavidson","In 1904 C.H. Lang of Chicago opened the first dealership devoted to this Milwaukee-based motorcycle co."
"chesapeakebay","The Baltimore clippers of the late 18th and early 19th centuries were first built at shipyards on this bay"
"ahelipad","7-letter term for a place to plunk down your whirlybird, as on the top of an office building"
"afunicular","296 feet long to climb 189 feet, the USA's shortest and steepest of these still operates in Dubuque"
"el","In Manhattan, most of these outdoor train lines have been torn down to eliminate noise and dirt"
"leeiacocca","Chrysler executive who developed the Ford Mustang"
"northsouth","Directional axis of odd-numbered interstate highways"
