"texas","The Energy Dept. picked this state in which to build the estimated $4.4 billion Supercollider"
"nicholasbrady","Serving briefly under Reagan, he didn't sign any dollar bills until Bush appointed him Treasury secretary"
"att","Though it has 3 initials in its name, this telecom giant gets only one for its stock symbol--""T"
"abba","In 2010 it became the first Scandinavian band to be inducted into the Rock and Roll Hall of Fame"
"jamestown","This first permanent English settlement in America was named for a British king"
"alaskaairlines","In the 1960s flight attendants from this U.S. airline wore Gay '90s and Russian Cossack costumes"
"brookline","Barry Manilow was born in Brooklyn; Michael Dukakis was born in this Massachusetts town"
"goldcoin","In October, 1986, the U.S. mint issued the first of these in more than fifty years"
"tokyorose","Iva D' Aguino, who in 1977 received a presidential pardon, was better known by this nickname"
"raoulwallenberg","Guinness says the greatest number of people saved by one man from death were saved by him in 1944-45"
"alanshepard","He won a lifetime membership in the U.S. Duffers Association after missing the first golf ball he swung at on the moon"
"gushall","Once denied a driver's license, this general secretary of the U.S. Communist party is usually driven to work"
"carbondioxide","Cakes rise in an oven because baking powder or yeast in the batter produces this gas"
"philadelphia","Navigational instruments are displayed at the Maritime Museum near Franklin Court in this Penn. city"
"kentucky","Cumberland Falls in the southeast of this state is called the ""Niagara of the South"
"azombie","In Haitian folk belief, it's a soulless corpse reanimated by a voodoo priest or bocor"
"tuberculosis","Guinea pigs are used to diagnose this disease because of their low resistance to the tubercle bacillus"
"franzkafka","He wrote, ""As Gregor Samsa awoke... He found himself transformed into a gigantic insect"
"charlesii","In literature, restoration refers to the period after the return of this king to England's throne in 1660"
"hitches","U-Haul claims to be the largest installer of these permanent devices that'll keep your trailer attached"
"ringlingbrothers","Lou Jacobs clowned around for this circus for 60 years, 1925 to 1985"
"nohead","In Churchill's saying, ""He who is not a liberal at 20 has no heart... He who is not a conservative at 40 has..."" this"
"period","The one punctuation mark necessary to every declarative sentence"
"physics","The science of matter and energy, it involves optics, acoustics and thermodynamics"
"janetevans","She won 3 golds in swimming at the '88 Olympics and was chosen homecoming queen of her school"
"janeaddams","She lived her last 45 years in Chicago's Hull House"
"ahangover","Dark drinks like scotch have lots, vodka less, of impurities called congeners, a culprit in this nasty condition"
"haunted","Scary--in 1991 the N.Y. Supreme Court ruled that a home buyer could void the sale as he hadn't known the house was this"
"dogs","A century-old painting of these animals playing poker was one of a pair that fetched $590,400 at a 2005 auction"
"tomarry","Schopenhauer wrote that to do this ""is to halve your rights and double your duties""; so he never did"
"janeaddams","This Hull House founder was the first woman to receive an honorary degree from Yale"
"isaacasimov","A maker of data communications equipment, U.S. Robotics is named for this author's book ""I, Robot"
"golf","Harvey Penick, a mentor to many of the greatest players in this sport, passed away in 1995"
"avalon","In Arthurian legend, Morgan le Fay is the ruler of this island"
"patty","A first name for girls, it's also a burger without the bun"
"submarine","It's our equivalent of a German U-boat"
"eternity","Forever, or a fragrance by Calvin Klein"
"greenhouseeffect","Without this ""effect"", the average temperature on Earth would be about 0 degrees"
"blowhole","It's a space for whales to breathe through, either in their heads or in ice above them"
"wellmet","In a term for a genial, sociable person, it follows ""Hail Fellow"
"bluemoon","Spacy song heard here:"
"cleansweep","A decisive victory or change, perhaps made with a ""new broom"
"stalemate","Situation seen here: if it's black's move, it results in a draw"
"london","22 Jermyn Street, The Savoy and The Covent Garden are all hotels in this city"
"frankoz","Miss Piggy knows this Muppeteer's original last name was Oznowicz"
"thomaspaine","Common Sense"" guy who wrote, ""Let the far and the near all unite, with a cheer, in defense of our liberty tree"
"legs","Male sea spiders carry the eggs on a special pair of these until they hatch"
"mussels","These bivalves are the main ingredient in the French dish moules mariniere"
"glasgow","Craig Ferguson is a proud Glaswegian--a native of this city"
"threadcount","Sheet retailers try to impress you with this number, 300 or 600 or even 1,500"
"ataproot","Alfalfa has a long one of these primary roots; on older plants it can go down 50 feet"
"frontispiece","It's the illustration facing the title page of a book"
"mississippi","Cirque du Soleil performs its dazzling ""Alegria"" show at the Beau Rivage Resort in Biloxi in this state"
"lint","Heloise says to remove this from the screen in the clothes dryer and toss it to the birds; they'll use it in their nests"
"aviator","Aviatrix is a feminine form of this noun"
"tennesseewilliams","The 1999 Tony for Scenic Design went to ""Not About Nightingales"" by this late Southern playwright"
"ireland","Country in which you'd find the Book of Kells"
"octane","Colorless, flammable hydrocarbon found in gasoline; you should have its number"
"testosterone","Manly men know it's the main androgen"
"cygnus","Deneb is the brightest star in this constellation whose name means swan"
"titanic","To go next to your piece of the Berlin Wall, you can buy a lump of coal from this ship that sank in 1912"
"telephoneoperators","In World War I, the women who had this job were known as ""Hello Girls"
"catherinegreat","Before taking the Russian throne in 1762, she changed her name, her language and her religion"
"whistling","Alessandro Alessandroni was the performer who added this to the music in ""A Fistful of Dollars"
"aristophanes","Though he wrote about 40 plays in all, only 11, including ""Clouds"" and ""Frogs"", survive intact"
"olivernorth","On July 20, 1987, a prankster changed the Hollywood sign to read ""Ollywood"", referring to him"
"hermouth","Guinness says Jean Chapman set a record in '82 by putting out 6,607 flaming torches in this in 2 hours"
"stvitus","Tho this saint was known for curative powers, the ""dance"" named for him is really the disease chorea"
"penny","First name of director Marshall, Garry's sister"
"nickel","Edison proposed using sheets of this metal, used with cadmium in a battery, as a substitute for paper in books"
"dime","Things that are commonplace are a this ""a dozen"
"quartermaster","This ""master"" takes care of clothing and providing sustenance for a body of troops"
"awhistle","The Acme Thunderer is one of these used by many sports referees"
"esau","The potage this Biblical character sold his birthright for was made from lentils"
"northcarolina","North Dakota's state song is ""North Dakota Hymn""; this state uses ""The Old North State"
"dionysus","His frenzied female devotees were called maenads, or, from his other name, Bacchus, bacchantes"
"sucre","Located about 8,500 feet up in the Andes is this judicial capital of Bolivia"
"denmark","In 1219 the Order of the Dannebrog was established; in 1671 this European country revived it"
"apollo","This Greek god killed Python, the serpent that guarded a shrine on the slopes of Mount Parnassus"
"yale","Handsome Dan, this Ivy League university's first bulldog mascot, now resides in a glass case, stuffed"
"spidermonkey","This monkey named for an arachnid is noted for its long, slender limbs and great agility"
"vulgatebible","St. Jerome prepared this Latin version of the Bible at the end of the 4th century"
"stairs","Related to the fear of falling, climacophobia is the fear of climbing these"
"madisonavenue","Givenchy, Armani and Nicole Miller have chic shops on this street synonymous with the ad industry"
"toiletbowl","Heloise cleans this bowl by pouring in cola that has gone flat and letting it soak for an hour"
"salsa","Spanish for ""sauce"", this chip dip may be so spicy it'll make you want to dance"
"benfranklin","He became clerk of the Pennsylvania assembly in 1736"
"speedwriting","Shorthand teacher Emma Dearborn originated this fast form of shorthand around 1924"
"fbi","This branch of the Justice Department administers the National Crime Information Center"
"denverpost","This Denver newspaper was given a 1986 Pulitzer Prize for meritorious public service"
"williamquantrill","Some say that Jesse James was with this man and his gang when they raided Lawrence, Kansas"
"liechtenstein","This principality and Switzerland are joined in a customs union"
"chicagomidway","Chicago's O'Hare International Airport is Illinois' busiest; this airport is second"
"carrot","Queen Anne's lace is the ancestor of this orange vegetable and has roots resembling it"
"honey","The primary source of this food is the Apis mellifera"
"guinevere","Jennifer"" derives from the Celtic form of this legendary Queen's name"
"newyorker","This publication says it's ""no more a magazine about NYC than Time is a magazine about wristwatches"
"silkstockings","Luxurious legwear, or a 1957 movie musical starring Fred Astaire, who didn't wear them"
"china","This Asian country leads the world in the production of rice and pears"
"downingstreet","A synonym for the British PM, this London street was named for a Secretary of the Treasury commission"
"marinate","It means to soak meat like beef or chicken to flavor, tenderize or preserve it"
"garrykasparov","On October 10, 1995 he retained his world chess title by defeating India's Viswanathan Anand"
"silica","This basic ingredient of glass can be derived from sand, flint or quartz"
"beard","Denmark's Gorm dynasty began with Gorm; next was Harald Bluetooth, then Sven Fork-this facial feature"
"shazam","When Billy Batson said this word, he got the wisdom of Solomon and the speed of Mercury"
"ameliaearhart","In 1937 Fred Noonan disappeared along with this person"
"crayola","In 1903 the first pack of this brand carried the line ""for educational color work"
"wrightbrothers","In 1899 this pair started their research with a biplane flown like a kite"
"attorneygeneral","Title of the chief of the DOJ"
"girlscouts","If you're a ""Junior"" member of this organization, think outside the box to earn your Cookie Biz badge"
"peacocks","These ""proud"" birds also knwn as peafowl like to fly up into trees at night to roost"
"amazons","When you read about these warrior women in Greek mythology, notice that they don't have "".com"" after their names"
"tea","In the American colonies in the 1770s, the British East India Company had a monopoly on the sale of this beverage"
"skittles","Taste the rainbow"" of fruit flavors with this candy brand"
"aloafer","Flaneur is a French term for this kind of lazy person, also a type of shoe"
"cuttysark","This famous 19th c. clipper ship shares its name with a brand of scotch"
"nissandatsun","The origins of this company can be traced back to the production of a car called the Dat in 1911"
"eleanorroosevelt","In 1950 this former first lady won the second Four Freedoms Award"
"alberteinstein","The National Air and Space Museum's planetarium is named for this German-American physicist"
"arizona","Snaketown on the Gila River in this state is the best-studied village of the Hohokam culture"
"docholliday","Dentist who helped out the Earps at the O.K. Corral"
"capricorn","Astrologically, January begins with this sign and ends with Aquarius"
"steeplechase","This type of horse race began as a contest toward a church tower"
"russia","Operation Barbarossa was the code name for the Nazi invasion of this nation"
"piglatin","The name of this language, in the language itself, is ""Igpay Atinlay"
"yellow","Since 1910, the color that borders the covers of ""National Geographic"
"bipartisanship","14-letter word for cooperation between 2 partners, leading to smoother political sailing"
"april","It was the 1990 date of the last official U.S. census; no fooling"
"second","One of these was added to 1992 at 7:59:59 P.M. EDT June 30"
"agriculture","The 4-H Clubs are an extension service of this U.S. cabinet department"
"jamesnaismith","The YMCA found his indoor versions of soccer and rugby too violent, so he invented basketball"
"fresnosacramento","1 of the 2 cities whose Bee is among the top 100 U.S. newspapers in circulation"
"poetry","Shelley and Eliot would be happy to know that April is the national month for this form of writing"
"seeds","The cotton gin worked by removing these small, pesky items from the cotton"
"green","If you stare at a bright red dot and then at a white wall, you'll see an afterimage of the same dot in this color"
"fantasia","Music from Paul Dukas accompanies a section of this 1940 film, as the powerful wizard summons spirits"
"hohos","Eddie Murphy took the cake when this tubular snack looked for the ""nuttiest celebrity laugh"" in 1999"
"trinidadtobago","This island nation may have been named for 3 peaks on one island and something smoked by natives on the other"
"romeo","This title guy's pal says, ""That... hard-hearted wench, that Rosaline, torments him so, that he will sure run mad"
"europe","The first 13 people to win the Nobel Prize for Literature were from this continent"
"dinosaurs","Of mollusks, algae or dinosaurs, the last one to appear on Earth"
"stringsection","Of the 4 sections in a typical orchestra, the 1 that includes the most musicians"
"venus","Of the planets in our solar system, this one is last alphabetically"
"adameve","In what could be the first-ever eviction, they got the heave-ho for taking an unauthorized meal break in Genesis 3"
"ellisisland","In May 1998 the Supreme Court gave 24.2 acres of this island to New Jersey and 3.3 acres of it to New York"
"richardnixon","In 1946 he won California's 12th district seat, in part by implying Democrat Jerry Voorhis had Communist ties"
"potato","Grown in the northeast U.S., the round white or Katahdin type of this tuber is excellent for boiling"
"apple","This computer maker's NASDAQ symbol is AAPL, not MAC"
"aztecs","Huitzilopochtli was the war and sun god of this civilization"
"convectionoven","With a fan that circulates hot air, this type of oven cooks 25% faster than conventional ovens"
"bride","In names of nuptial magazines, this word follows Southern, Southern Calif., and Modern"
"chiefjoseph","In-Mut-Too-Yah-Lat-Lat was the Indian name of this Nez Perce chief who would ""fight no more forever"
"crystalpalace","James Paxton designed this London ""palace"" for the 1st World's Fair in 1851"
"ukraine","The word that completes the title of the musical ""A Day in Hollywood A Night in the..."
"n","On the way to becoming the name it is today, ""Covent Garden"" lost this letter"
"riogrande","It's the large river that runs through Albuquerque and Brownsville"
"tinstannous","Its chemical symbol is Sn"
"howardcarter","This British archaeologist's last dig (the one they put him in) was at Putney Vale Cemetery in 1939, not in Egypt"
"daisy","A special flower for April, it can be oxeye or shasta"
"data","If your computer has this kind of ""base"", you should know it's the plural of ""datum"
"calamityjane","The original ""Calamity"" in her life may have been her parents' death while settling Salt Lake City"
"elvispresley","This rock star not only had the most No. 1 songs by a solo performer, he also had the most No. 2 hits"
"caseykasem","Keep your feet on the ground and keep reaching for the stars"" is this disk jockey's TV and radio sign-off"
"beaver","On maps, this rodent's name precedes creek, falls, island, and, of course, dam"
"arrows","Belomancy is a form of divination in which these are drawn at random from a quiver or other container"
"film","Some foreign X-ray scanners may ruin rolls of this, so keep them in a special lead-lined bag"
"chandeliers","The Kennedy Center's grand foyer is lit with 18 of these crystal items; they each weigh a ton"
"frankfort","Dedicated in 1910, the capitol building in this Kentucky city was designed to resemble the U.S. capitol"
"nobelprize","As a winner of this, you may be awakened in Stockholm's Grand Hotel by Swedes in St. Lucia's Day costumes"
"yeolde","These 2 words preceded ""England Inne"" in the name of a romantic getaway in Stowe, Vermont"
"sticksnix","First 2 words of Variety's headline about rural audiences rejecting rural movies, preceding ""Hick Pix"
"ayahoo","In ""Gulliver's Travels"", Swift described this type of creature as ""the most unteachable of all brutes"
"wine","What a Spaniard usually drinks from a ""bota"
"saintlawrence","There is a small population of blue whales that can be seen in this famous Canadian river"
"lawenforcement","The ""Pig Bowl"" is a California charity football game between people of this occupation"
"pickledonions","In 1978, Pat Donahue ate almost 2 lbs. of these in 68 seconds without sipping a single Gibson"
"hokeypokey","At the 1996 burial of Larry LaPrise, this song's author, we guess they put his right foot in, put his right foot out..."
"arthurfiedler","He joined the Boston Symphony as a violinist in 1915 and began conducting in the '20s"
"areacodes","New ones of these in 1996 include 847 for Illinois and 330 for Ohio"
"seeds","Watermelon, pumpkin and sunflower ones can be toasted like nuts and served as hors d'oeuvres"
"newjersey","The Chatfield Memorial Garden is one of many lovely gardens in this Garden State"
"busterbrowns","These shoes must be roomy, because ads say, ""There's a little kid and his dog inside every pair"
"victoria","A pleasure carriage with a raised driver's seat, or the 19th century British queen for whom it was named"
"frog","Students who don't want to dissect a real one of these can order a cloth one named ""Ribbit"
"pollen","In flowers, the anther is part of the stamen in which this is produced"
"houses","The 12 divisions of a horoscope are known by this ""homey"" name"
"cigar","The Havana brown cat is so named because its coat resembles the color of these"
"georgia","It's the largest state entirely east of the Mississippi"
"arug","Technically, a carpet is fixed to the floor but one of these lies free"
"budapest","Andrassy is the luxury shopping street of this capital of Hungary"
"mustard","It's not just Dijon; Meaux also is known for this condiment"
"aguitar","Jazzman Bucky Pizzarelli uses a 7-string one of these"
"paleontology","The Royal Tyrrell Museum of this -ology has 35 complete dinosaur skeletons"
"ussr","In 1988 officials in this country admitted they had printed false maps for years to fool enemies"
"elephants","Hannibal had 38 of these animals when he began crossing the Alps, but few survived the ice and snow"
"bees","Imported into Brazil from Africa, these ""killer"" insects escaped the lab and bred with locals"
"grenada","The U.S. Army awarded 8,612 medals after this 1983 invasion although fewer than 7,000 troops were there"
"pippin","Both the father and son of the Frankish leader Charles Martel were named this"
"sugar","Most candy is made by crystallizing this"
"coffee","This drink has been traced back to the Ethiopian province of Keffa or Kaffa (maybe the source of its name, too)"
"canada","It's the country closest to the wreck of the Titanic"
"tablecloth","The flat-topped table mountain overlooking Cape Town is often under its own cloud cover, aptly called this"
"agunshot","Ronald Reagan was partly deaf in his right ear because this happened to close to it on a movie set"
"stalin","1950s Bulgarian leader Vulko Chervenkov, who followed the Soviet model, was known as ""Little"" this dictator"
"girlscouts","The leaders of these clubs for young females now wear uniforms designed by Bill Blass"
"asia","Though its name is French, papier-mache was 1st used on this continent, not Europe"
"chartruese","It can be a colorful vegetable dish, an herb liqueur or a shade of yellowish-green"
"almond","Seen in religious art, a mandorla is an aureole of light shaped like this nut used in marzipan"
"abominable","Meaning loathsome, this adjective is used to describe a particular Himalayan ""snowman"
"parson","Commonly used title of clergyman Mason Weems, known for his 1800 biography of George Washington"
"brazil","This country's pavilion at the 1939 New York World's Fair was designed by Lucio Costa and Oscar Niemeyer"
"mathewbrady","The portrait on the U.S. $5 bill is from a photograph taken at this man's studio"
"sojournertruth","A device named for this woman drove around Mars"
"jaialai","In this sport a long basket called a cesta is worn on one hand"
"jupiter","Ganymede and Callisto are the largest moons of this largest planet"
"camel","The dromedary type of this mammal has 1 hump; the Bactrian has 2"
"qantas","This airline was founded in 1920 as the Queensland and Northern Territory Aerial Services Ltd."
"montgolfierbrothers","In 1783 these brothers demonstrated their hot air balloon to Louis XVI and Marie Antoinette"
"thebes","In mythology Laius and Oedipus both reigned over this Greek city"
"heart","Willem Einthoven devised a way to measure and record its electrical current, thus producing the EKG"
"doge","In 1032 this Venetian official gave up most of his authority but remained commander of the army and navy"
"magnolia","This is Mississippi's state tree -- its flower is the state flower"
"veneer","A thin sheet of fine wood applied over cheaper material for decoration"
"stephenfoster","This U.S. composer was born July 4, 1826 to William Barclay Foster, a Pennsylvania merchant"
"arose","The ""peace"", introduced in 1945, is one of the most famous hybrid tea varieties of this flower"
"pentagon","This Arlington, Va. office building covers over twice the area as the Great Pyramid of Cheops"
"cardinalrichelieu","It's said this cleric, French prime minister under Louis XIII, exercised by jumping over furniture"
"apedometer","Instrument for measuring walked distances that works by responding to body motion"
"reindeer","Of the female elk, moose or reindeer, the one which has antlers"
"astar","The flag of Chile has just one of these, 49 fewer than the U.S. flag"
"rollercoasters","Python and Scorpion aren't merely animals, they're 2 of these rides at Busch Gardens Tampa Bay"
"mustardseed","Of Ketchupseed, Mustardseed or Onionseed, the one who's a fairy in ""A Midsummer Night's Dream"
"balancebeam","This apparatus that female gymnasts compete on is just 4 inches wide, so don't lose your equilibrium"
"neon","If you have any Na, you've got sodium; if you have any Ne, you've got this gas"
"one","It's the number of cells in your average dinoflagellate"
"idaho","On an alphabetical list of U.S. states, this 43rd state comes immediately after the 50th state"
"sanjuan","Ponce de Leon's tomb is in this capital city"
"israel","One of this country's shekels can be broken down into 100 agorot"
"bingo","In the basic form of this game, each player gets a card with 5 horizontal rows of numbers from 1 to 75"
"silk","Peau de soie, a textile with good drapability and body, is woven from this fiber"
"greek","Lydia and Xenia are women's names derived from this language"
"hawaii","There are only 12 letters in the alphabet of these American islands"
"sikorsky","This developer of the first practical helicopter built and flew the first 4-engine aircraft in 1913"
"exoskeleton","Chitin is the main component in this supportive outer covering of lobsters and insects"
"spouse","From the Latin for ""betrothal"", it's a marriage partner, either husband or wife"
"silverbells","The garden of ""Mary, Mary, Quite Contrary"" includes these, along with cockleshells and pretty maids"
"chiefjoseph","In 1885 this Nez Perce chief and his people were moved to a reservation in Washington where he died in 1904"
"chuckyeager","In 1976 the U.S. Mint issued a medal commemorating his flight through the sound barrier"
"cambridge","Oxford graduate Hugh Grant played a student at this other British university in the coming-of-age film ""Maurice"
"white","Traditionally, the ballet ""Suite en Blanc"" is performed without scenery, in costumes of this color"
"garlic","Puerto Ricans eat mofongo, a mashed plantain dish that gets its strong flavor from cloves of this"
"arabic","It's the official language of Bahrain"
"edvardgrieg","This 19th C. Norwegian wrote incidental music for Bjornstjerne Bjornson's play ""Sigurd Jorsalfar"
"acue","A verbal prompt for an actor"
"aqueue","From the Latin for ""tail"", it's what the Brits stand in to get in to see a movie"
"acrew","It's a rowing team or all of the personnel serving aboard a ship"
"kewgardens","Royal Botanical Gardens of southwest London"
"surfing","Wahine, a magazine devoted to women in this sport, wiped out in 2001"
"float","Raul Rodriguez is a famed designer of these, and he's often seen riding on one on January 1st with his pet macaw"
"cab","This ancient Hebrew measure equal to about 2 quarts sounds like a synonym for ""taxi"
"jumper","In Britain, it's a pullover sweater; in America, it's a sleeveless dress worn over a blouse"
"lakeontario","Toronto's coat of arms boasts an artist's depiction of 3 rivers flowing into this body of water"
"exclamationmark","In computer lingo this punctuation mark is called a bang or pling"
"rockefellercenter","(Sofia of the Clue Crew reports from a skating rink in New York City)  This famed NYC complex is home to NBC, Radio City Music Hall and, of course, the skating rink"
"cropcircles","Perhaps Mel Gibson knows that cereology is the study of these, which seem to make the rounds overnight"
"sunflower","Think about it -- Helianthus is the scientific name of this rather large flower"
"weight","(Jimmy of the Clue Crew reports from a ski slope in Colorado)  My snowshoes are keeping me from sinking by distributing this over a wide area"
